date,yt_pred_mlp_8,yt_true
1946-01-01,,890
1946-02-01,,992
1946-03-01,,979
1946-04-01,,959
1946-05-01,,1110
1946-06-01,,1546
1946-07-01,,1539
1946-08-01,,3401
1946-09-01,,2092
1946-10-01,,1436
1946-11-01,,1301
1946-12-01,,1287
1947-01-01,,1488
1947-02-01,1260.8287581197696,1517
1947-03-01,1360.020366506708,1707
1947-04-01,1434.9276830258302,1729
1947-05-01,1488.1159796137486,1788
1947-06-01,1665.9033804755443,2008
1947-07-01,1959.1560238786858,2203
1947-08-01,2746.7774581373733,3713
1947-09-01,2630.703128844552,2946
1947-10-01,2093.597527732729,2082
1947-11-01,1741.7666614193508,2033
1947-12-01,1677.8859347553462,1937
1948-01-01,1753.5357886832237,1711
1948-02-01,1739.4375679355721,1775
1948-03-01,1888.1827194795087,1902
1948-04-01,1983.3162362584421,1846
1948-05-01,1983.9057651298167,2083
1948-06-01,2158.2066304630985,2262
1948-07-01,2554.716004430552,2193
1948-08-01,3127.638201003202,3792
1948-09-01,3252.58707489919,2343
1948-10-01,2329.598192114197,2313
1948-11-01,2212.224623916176,2179
1948-12-01,2040.1687921261075,1975
1949-01-01,1933.9856433428847,1880
1949-02-01,1924.1423549711637,1930
1949-03-01,2053.1856895118212,2060
1949-04-01,2121.5484272168123,1843
1949-05-01,2138.687668806007,2052
1949-06-01,2266.962148436801,2039
1949-07-01,2466.51375748135,2351
1949-08-01,3112.6185945619177,3394
1949-09-01,2846.6459543004894,3581
1949-10-01,2984.594223440351,2489
1949-11-01,2447.210598083738,2468
1949-12-01,2239.3206142584313,2134
1950-01-01,2070.4824509311175,1903
1950-02-01,2033.9567299616117,1719
1950-03-01,2029.4061071961078,1617
1950-04-01,1992.4547221399066,1818
1950-05-01,2110.0116713746493,2067
1950-06-01,2224.14210489509,2457
1950-07-01,2698.725168540335,2600
1950-08-01,3306.456967995082,3530
1950-09-01,3577.912782447563,2693
1950-10-01,2725.543317076077,2448
1950-11-01,2495.2768998701727,2250
1950-12-01,2192.076661085717,1972
1951-01-01,2002.653619390742,1682
1951-02-01,1840.2046706665635,1730
1951-03-01,1878.897587188282,1814
1951-04-01,2021.392437881441,1900
1951-05-01,2188.5129203835722,2051
1951-06-01,2435.1810102057916,2290
1951-07-01,2744.4341156470273,2599
1951-08-01,3174.0527430359903,3428
1951-09-01,3072.884291689687,2262
1951-10-01,2483.550921091401,2242
1951-11-01,2264.6624653623826,2103
